Lu[246]  -0.000194907 0.000137784 2.85864e-005
Lu[247]  0.000289578 -0.00056143 -0.0019629
Lu[248]  -0.000706679 -0.00197929 -0.000214306
Lu[249]  0.000190158 -0.000459153 -0.00085016
Lu[250]  -3.39503e-006 0.000316691 -0.0011158
Lu[251]  -0.000177415 0.000250635 -0.00101098
Lu[252]  -0.000202295 0.000246689 -0.0009518
Lu[253]  -0.000221529 0.000211106 -0.000788206
Lu[254]  -0.000219049 0.000115254 -0.000616498
Lu[255]  -0.000114822 5.49375e-005 -0.000343989
Lu[256]  0.000450192 -0.000103707 -0.000933923
Lu[257]  0.000409418 5.64096e-005 -0.000914596
Lu[258]  0.000172574 -0.000133904 -0.00106509
Lu[259]  -0.00145561 -0.00131942 -0.000339746
Lu[260]  -0.000243429 -0.00187187 -3.78729e-005
Lu[261]  0.00126477 3.90525e-005 3.2165e-005
Lu[262]  0.000248145 0.000363319 -0.00114689
Lu[263]  -0.000205341 6.56608e-005 -0.000722473
Lu[264]  1.98121e-006 -2.06927e-005 -0.000224211
Lu[265]  0.000105842 -4.30052e-005 -0.000179755
Lu[266]  0.000229093 -1.29471e-005 -0.000201291
Lu[267]  -1.40981e-005 -0.000156358 -0.00106136
Lu[268]  -0.00040986 -0.000100962 -0.00096872
Lu[269]  0.000136788 -0.000796307 -0.000619809
Lu[270]  0.000535716 0.000356518 -0.0020252
Lu[271]  -0.000788894 0.000460327 8.79403e-007
Lu[272]  0.000968678 8.77758e-005 0.000812542
Lu[273]  0.00038815 -5.86085e-005 -0.000377685
Lu[274]  -0.000143291 -0.000227062 -0.00104048
Lu[275]  -0.000309499 -0.000232929 -0.00100285
Lu[276]  0.000134639 0.000260986 -0.00118319
Lu[277]  5.67818e-005 0.000281096 -0.0011641
Lu[278]  -7.14859e-005 0.000226864 -0.0011002
Lu[279]  -0.000127191 0.000260003 -0.00105803
Lu[280]  -0.00018152 0.000158456 -0.000946318
Lu[281]  -0.000172237 2.07377e-005 -0.000525862
Lu[282]  -6.84445e-005 -7.57471e-005 -0.000400791
Lu[283]  0.00114812 0.000128392 -8.59607e-005
Lu[284]  0.00139951 0.000183433 0.000648502
Lu[285]  0.000498551 -0.000141417 -0.000664564
Lu[286]  0.000495275 -0.000112051 -0.000867228
Lu[287]  0.000387741 -0.000222061 -0.00101577
Lu[288]  -1.69227e-007 -0.00100507 -0.000660899
