Interior vertex normals: 
0.0392056 0.73257 0.679562
-0.78971 0.199786 -0.580037
-0.881674 0.0918085 -0.462842
-0.885679 0.204309 -0.41693
-0.953805 -0.14195 -0.264775
-0.99011 -0.116202 -0.0786039
-0.985339 0.0249648 -0.168773
0.302075 0.107482 -0.947206
0.191014 -0.0665287 -0.97933
0.478134 0.226044 -0.8487
-0.215201 -0.109945 0.970361
0.221753 0.136064 0.965563
0.0219284 0.0768213 0.996804
0.221753 0.136064 0.965563
0.363554 0.274019 0.890361
0.0219284 0.0768213 0.996804
0.276574 0.38536 0.880343
0.2398 0.51391 0.823646
0.0208767 0.516162 0.856236
0.0793243 0.638188 0.765783
0.0392056 0.73257 0.679562
-0.246043 0.683924 0.686812
-0.200548 -0.65684 0.726871
0.0948684 -0.578354 0.810251
-0.0931418 -0.282382 0.95477
0.27494 -0.11509 -0.954548
0.964883 0.240544 -0.105547
0.858317 -0.158392 -0.488061
-0.0883689 0.979468 0.181201
-0.216227 0.949084 0.229096
-0.122921 0.917818 0.377492
-0.949959 0.0313298 -0.3108
-0.985339 0.0249648 -0.168773
-0.9765 -0.0453089 -0.210701
-0.280618 -0.260969 -0.92366
-0.192782 -0.420564 -0.886544
-0.0839866 -0.533311 -0.841739
0.0208767 0.516162 0.856236
0.2398 0.51391 0.823646
0.0793243 0.638188 0.765783
0.911847 0.297526 -0.282868
0.869017 0.450016 -0.205658
0.938146 0.329102 -0.10758
0.569461 -0.35769 -0.740116
0.685169 -0.416886 -0.597286
0.603249 -0.593586 -0.532678
-0.167934 -0.399721 -0.901122
-0.280618 -0.260969 -0.92366
-0.0839866 -0.533311 -0.841739
-0.216227 0.949084 0.229096
-0.264638 0.866189 0.42389
-0.122921 0.917818 0.377492
0.413492 -0.86477 -0.284953
0.835723 -0.524679 -0.16211
0.934086 -0.327375 -0.142508
-0.0931418 -0.282382 0.95477
0.221753 0.136064 0.965563
-0.215201 -0.109945 0.970361
0.182123 0.339089 0.922957
0.200587 0.467619 0.86087
0.0801065 0.50104 0.861709
0.474796 -0.578975 -0.662839
0.569461 -0.35769 -0.740116
0.603249 -0.593586 -0.532678
0.938146 0.329102 -0.10758
0.869157 0.492373 -0.0462157
0.930209 0.365507 0.0334162
0.569461 -0.35769 -0.740116
0.760206 -0.250009 -0.599651
0.685169 -0.416886 -0.597286
0.671119 0.278163 -0.687186
0.846446 0.212415 -0.488272
0.69037 0.37401 -0.619279
-0.213627 0.976105 -0.039792
-0.256338 0.96278 0.0857085
-0.173894 0.982466 0.0672469
-0.0825832 0.993583 0.0772805
-0.0883689 0.979468 0.181201
0.0127859 0.978942 0.203736
-0.309768 0.202489 0.929001
-0.362695 0.32523 0.873314
-0.556125 0.205154 0.80538
0.253582 -0.249764 0.934513
-0.0931418 -0.282382 0.95477
0.0948684 -0.578354 0.810251
0.253582 -0.249764 0.934513
0.221753 0.136064 0.965563
-0.0931418 -0.282382 0.95477
0.210889 -0.250451 0.944881
0.0843646 -0.572183 0.815775
0.15222 -0.234003 0.960246
0.2398 0.51391 0.823646
0.364318 0.511483 0.77824
0.0793243 0.638188 0.765783
0.558627 -0.829065 0.0242141
0.457775 -0.887958 -0.0444107
0.537066 -0.82984 -0.151416
0.760206 -0.250009 -0.599651
0.811839 -0.089982 -0.576906
0.870377 -0.294711 -0.394448
0.959704 0.00291052 -0.280999
0.983401 0.0496226 -0.174528
0.994191 0.0390764 -0.100288
-0.59065 0.629397 -0.504968
-0.510424 0.817257 0.267504
-0.756538 0.614785 0.222913
-0.91823 0.228827 -0.323252
-0.81455 -0.164458 -0.556293
-0.860854 0.296068 -0.413854
-0.985345 -0.168443 -0.0268691
-0.678946 -0.732676 -0.0471029
-0.922066 -0.337453 -0.189527
-0.720545 -0.692924 -0.0259068
-0.678296 -0.703634 -0.211694
-0.679555 -0.694831 -0.235402
-0.222818 0.241269 0.944532
-0.362695 0.32523 0.873314
-0.309768 0.202489 0.929001
-0.362695 0.32523 0.873314
-0.248697 0.357799 0.900072
-0.204842 0.0400238 0.977976
-0.248697 0.357799 0.900072
0.160863 -0.304696 0.938767
-0.204842 0.0400238 0.977976
0.0205333 0.15632 0.987493
0.109647 0.225543 0.968043
0.0485786 0.400159 0.915157
0.229171 0.426758 0.874847
0.312794 0.49949 0.80788
0.259217 0.578285 0.773558
0.323878 -0.320444 0.890179
0.0559837 -0.115222 0.991761
0.0923021 -0.455642 0.885365
0.575044 0.367337 0.731018
0.221753 0.136064 0.965563
0.463083 0.221534 0.858182
0.929821 0.350349 -0.112646
0.994191 0.0390764 -0.100288
0.994406 0.101889 0.0278428
-0.97025 0.240089 0.0311671
-0.972064 0.225878 0.0638027
-0.92951 0.355618 0.0977057
-0.870593 0.129258 -0.474722
-0.823125 -0.00605017 -0.567828
-0.792187 0.0654064 -0.606763
-0.00238649 0.91473 -0.404058
-0.104286 0.940821 -0.322461
-0.0304762 0.964498 -0.262324
-0.00295523 0.933964 0.357354
-0.0173795 0.833142 0.552786
0.0456034 0.849671 0.525337
-0.213083 0.365646 0.906034
-0.248697 0.357799 0.900072
-0.362695 0.32523 0.873314
0.832012 -0.518981 -0.195998
